fold,train_start,test_start,test_end,accuracy,total_return,sharpe_ratio,max_drawdown,win_rate,n_trades,weights
1,0,1260,1425,0.8242424242424242,0.0,0.0,0.0,0.0,0,"[np.float64(0.35000000000000003), np.float64(0.25), np.float64(0.3999999999999999)]"
2,165,1425,1590,0.9090909090909091,-0.033733271599267936,-3.040590669145534,-0.04558752491780661,0.0,2,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
3,330,1590,1755,0.9212121212121213,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.5), np.float64(0.5)]"
4,495,1755,1920,0.9151515151515152,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
5,660,1920,2085,0.9454545454545454,0.0,0.0,0.0,0.0,0,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
6,825,2085,2250,0.8484848484848485,0.027514095586023905,4.759605690432278,0.0,1.0,1,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
7,990,2250,2415,0.8424242424242424,0.006717214887931186,0.5677745161928716,-0.01754242611612659,0.5,2,"[np.float64(0.0), np.float64(0.0), np.float64(1.0)]"
8,1155,2415,2580,0.8303030303030303,-0.006624755447952702,-0.6249614839962715,-0.025463864261749954,0.3333333333333333,3,"[np.float64(0.05), np.float64(0.30000000000000004), np.float64(0.6499999999999999)]"
9,1320,2580,2745,0.7393939393939394,-0.01886767907852227,-1.4748461432372557,-0.04310756726718887,0.0,1,"[np.float64(0.72), np.float64(0.08999999999999996), np.float64(0.19000000000000006)]"
10,1485,2745,2910,0.8606060606060606,-0.011690305961153717,-1.9802384290673514,-0.023237601359479776,0.0,1,"[np.float64(0.30000000000000004), np.float64(0.55), np.float64(0.1499999999999999)]"
11,1650,2910,3075,0.8121212121212121,0.0,0.0,0.0,0.0,0,"[np.float64(0.5), np.float64(0.45), np.float64(0.04999999999999999)]"
